Survey Years,Sex,Age Group,Race and Hispanic Origin,Nutrient,Mean,Standard Error,Lower 95% CI Limit,Upper 95% CI Limit,Note1,Note2,Notea,Noteb
2009-2010,Female,50-59,All,Potassium,"2,591.9",53.8,"2,485.6","2,698.2",,,,
2009-2010,Female,60-69,All,Potassium,"2,488.3",52.0,"2,385.6","2,591.0",,,,
2009-2010,Female,70 and over,All,Potassium,"2,339.4",36.5,"2,267.4","2,411.5",,,,
2009-2010,Male,2-19,All,Potassium,"2,427.4",56.2,"2,538.4","2,316.5",,,,
2009-2010,Male,2-5,All,Potassium,"2,092.1",37.3,"2,018.5","2,165.7",,,,
2009-2010,Male,6-11,All,Potassium,"2,248.0",50.2,"2,148.8","2,347.2",,,,
2009-2010,Male,12-19,All,Potassium,"2,750.3",112.5,"2,528.0","2,972.7",,,,
2009-2010,Male,20 and over,All,Potassium,"3,171.6",43.9,"3,258.4","3,084.9",,,,
2009-2010,Male,20-29,All,Potassium,"2,910.7",121.5,"2,670.7","3,150.7",,,,
2009-2010,Male,30-39,All,Potassium,"3,206.5",80.3,"3,048.0","3,365.1",,,,
2009-2010,Male,40-49,All,Potassium,"3,503.8",106.9,"3,292.7","3,715.0",,,,
2009-2010,Male,50-59,All,Potassium,"3,310.5",93.4,"3,126.0","3,495.1",,,,
2009-2010,Male,60-69,All,Potassium,"3,119.3",84.5,"2,952.5","3,286.2",,,,
2009-2010,Male,70 and over,All,Potassium,"2,796.5",74.8,"2,648.8","2,944.3",,,,
2009-2010,All,2-19,All,Saturated Fat,27.0,0.9,25.3,28.8,,,,
2009-2010,All,2-19,Non-Hispanic White,Saturated Fat,27.7,1.3,25.2,30.2,,,,
2009-2010,All,2-19,Non-Hispanic Black,Saturated Fat,27.2,1.6,24.1,30.3,,,,
2009-2010,All,2-19,Non-Hispanic Asian,Saturated Fat,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2009-2010,All,2-19,Hispanic,Saturated Fat,25.3,0.8,23.7,26.9,,,,
2009-2010,All,2-19,Mexican American,Saturated Fat,25.4,1.1,23.3,27.6,,,,
2009-2010,All,2-5,All,Saturated Fat,20.1,0.8,18.6,21.6,,,,
2009-2010,All,6-11,All,Saturated Fat,23.4,0.3,22.8,24.1,,,,
2009-2010,All,12-19,All,Saturated Fat,27.0,0.9,25.3,28.8,,,,
2009-2010,All,20 and over,All,Saturated Fat,25.9,0.4,25.1,26.7,,,,
2009-2010,All,20 and over,Non-Hispanic White,Saturated Fat,27.0,0.4,26.1,27.8,,,,
2009-2010,All,20 and over,Non-Hispanic Black,Saturated Fat,25.2,0.8,23.6,26.8,,,,
2009-2010,All,20 and over,Non-Hispanic Asian,Saturated Fat,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2009-2010,All,20 and over,Hispanic,Saturated Fat,23.6,0.6,22.3,24.8,,,,
2009-2010,All,20 and over,Mexican American,Saturated Fat,23.7,0.8,22.2,25.2,,,,
2009-2010,All,20-29,All,Saturated Fat,27.2,0.8,25.6,28.8,,,,
2009-2010,All,30-39,All,Saturated Fat,26.9,0.5,25.9,27.9,,,,
2009-2010,All,40-49,All,Saturated Fat,27.2,1.0,25.3,29.2,,,,
2009-2010,All,50-59,All,Saturated Fat,26.7,0.9,25.0,28.4,,,,
2009-2010,All,60-69,All,Saturated Fat,24.5,0.7,23.2,25.7,,,,
2009-2010,All,70 and over,All,Saturated Fat,20.6,0.5,19.7,21.5,,,,
2009-2010,Female,2-19,All,Saturated Fat,23.1,0.6,21.8,24.3,,,,
2009-2010,Female,2-5,All,Saturated Fat,20.6,0.9,18.8,22.4,,,,
2009-2010,Female,6-11,All,Saturated Fat,22.1,0.5,21.2,23.0,,,,
2009-2010,Female,12-19,All,Saturated Fat,23.1,0.6,21.8,24.3,,,,
2009-2010,Female,20 and over,All,Saturated Fat,21.6,0.2,21.2,22.0,,,,
2009-2010,Female,20-29,All,Saturated Fat,23.6,1.1,21.4,25.7,,,,
2009-2010,Female,30-39,All,Saturated Fat,22.2,0.6,21.1,23.4,,,,
2009-2010,Female,40-49,All,Saturated Fat,21.2,0.7,19.8,22.5,,,,
2009-2010,Female,50-59,All,Saturated Fat,21.0,0.8,19.5,22.6,,,,
2009-2010,Female,60-69,All,Saturated Fat,22.0,0.9,20.3,23.6,,,,
2009-2010,Female,70 and over,All,Saturated Fat,19.0,0.5,18.0,19.9,,,,
2009-2010,Male,2-19,All,Saturated Fat,31.3,1.4,28.6,34.0,,,,
2009-2010,Male,2-5,All,Saturated Fat,19.6,0.8,18.1,21.1,,,,
2009-2010,Male,6-11,All,Saturated Fat,24.7,0.7,23.3,26.1,,,,
2009-2010,Male,12-19,All,Saturated Fat,31.3,1.4,28.6,34.0,,,,
2009-2010,Male,20 and over,All,Saturated Fat,30.6,0.7,29.2,32.0,,,,
2009-2010,Male,20-29,All,Saturated Fat,30.7,1.1,28.5,32.9,,,,
2009-2010,Male,30-39,All,Saturated Fat,31.5,1.1,29.3,33.7,,,,
2009-2010,Male,40-49,All,Saturated Fat,34.3,1.7,31.0,37.5,,,,
2009-2010,Male,50-59,All,Saturated Fat,32.3,1.3,29.8,34.9,,,,
2009-2010,Male,60-69,All,Saturated Fat,27.2,0.8,25.6,28.8,,,,
2009-2010,Male,70 and over,All,Saturated Fat,23.0,0.6,21.7,24.2,,,,
2009-2010,All,2-19,All,Sodium,"3,561.8",109.4,"3,345.7","3,777.8",,,,
2009-2010,All,2-19,Non-Hispanic White,Sodium,"3,583.7",133.5,"3,319.9","3,847.5",,,,
2009-2010,All,2-19,Non-Hispanic Black,Sodium,"3,347.5",135.7,"3,079.4","3,615.6",,,,
2009-2010,All,2-19,Non-Hispanic Asian,Sodium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2009-2010,All,2-19,Hispanic,Sodium,"3,434.1",81.5,"3,273.2","3,595.1",,,,
2009-2010,All,2-19,Mexican American,Sodium,"3,454.5",133.6,"3,190.5","3,718.5",,,,
2009-2010,All,2-5,All,Sodium,"2,308.1",43.5,"2,222.3","2,394.0",,,,
2009-2010,All,6-11,All,Sodium,"2,971.4",49.1,"2,874.5","3,068.3",,,,
2009-2010,All,12-19,All,Sodium,"3,561.8",109.4,"3,345.7","3,777.8",,,,
2009-2010,All,20 and over,All,Sodium,"3,588.6",29.2,"3,531.0","3,646.2",,,,
2009-2010,All,20 and over,Non-Hispanic White,Sodium,"3,627.0",35.8,"3,556.4","3,697.6",,,,
2009-2010,All,20 and over,Non-Hispanic Black,Sodium,"3,357.5",59.8,"3,239.4","3,475.6",,,,
2009-2010,All,20 and over,Non-Hispanic Asian,Sodium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2009-2010,All,20 and over,Hispanic,Sodium,"3,417.0",50.5,"3,317.2","3,516.7",,,,
2009-2010,All,20 and over,Mexican American,Sodium,"3,367.9",73.4,"3,223.0","3,512.9",,,,
2009-2010,All,20-29,All,Sodium,"3,805.4",71.2,"3,664.9","3,946.0",,,,
2009-2010,All,30-39,All,Sodium,"3,792.3",63.8,"3,666.3","3,918.3",,,,
2009-2010,All,40-49,All,Sodium,"3,745.8",66.6,"3,614.3","3,877.3",,,,
2009-2010,All,50-59,All,Sodium,"3,623.4",83.8,"3,457.9","3,789.0",,,,
2009-2010,All,60-69,All,Sodium,"3,371.8",62.6,"3,248.3","3,495.4",,,,
2009-2010,All,70 and over,All,Sodium,"2,844.4",55.1,"2,735.6","2,953.2",,,,
2009-2010,Female,2-19,All,Sodium,"2,958.4",95.5,"2,769.8","3,147.0",,,,
2009-2010,Female,2-5,All,Sodium,"2,282.7",57.0,"2,170.1","2,395.4",,,,
2009-2010,Female,6-11,All,Sodium,"2,875.3",66.1,"2,744.7","3,005.8",,,,
2009-2010,Female,12-19,All,Sodium,"2,958.4",95.5,"2,769.8","3,147.0",,,,
2009-2010,Female,20 and over,All,Sodium,"2,980.1",29.9,"2,921.0","3,039.1",,,,
2009-2010,Female,20-29,All,Sodium,"3,216.7",74.3,"3,069.9","3,363.4",,,,
2009-2010,Female,30-39,All,Sodium,"3,049.7",63.1,"2,924.9","3,174.4",,,,
2009-2010,Female,40-49,All,Sodium,"3,013.9",74.1,"2,867.5","3,160.3",,,,
2009-2010,Female,50-59,All,Sodium,"2,991.6",79.9,"2,833.8","3,149.4",,,,
2009-2010,Female,60-69,All,Sodium,"2,890.9",79.1,"2,734.6","3,047.2",,,,
2009-2010,Female,70 and over,All,Sodium,"2,588.5",65.3,"2,459.6","2,717.4",,,,
2009-2010,Male,2-19,All,Sodium,"4,210.8",156.9,"3,900.8","4,520.7",,,,
2009-2010,Male,2-5,All,Sodium,"2,330.5",70.6,"2,191.0","2,470.1",,,,
2009-2010,Male,6-11,All,Sodium,"3,062.2",62.4,"2,938.9","3,185.6",,,,
2009-2010,Male,12-19,All,Sodium,"4,210.8",156.9,"3,900.8","4,520.7",,,,
2009-2010,Male,20 and over,All,Sodium,"4,242.7",42.9,"4,158.1","4,327.4",,,,
2009-2010,Male,20-29,All,Sodium,"4,375.7",111.7,"4,155.1","4,596.3",,,,
2009-2010,Male,30-39,All,Sodium,"4,532.8",105.3,"4,324.8","4,740.8",,,,
2009-2010,Male,40-49,All,Sodium,"4,588.3",162.5,"4,267.2","4,909.4",,,,
2009-2010,Male,50-59,All,Sodium,"4,252.7",151.7,"3,953.1","4,552.3",,,,
2009-2010,Male,60-69,All,Sodium,"3,899.8",80.3,"3,741.2","4,058.3",,,,
2009-2010,Male,70 and over,All,Sodium,"3,204.9",72.7,"3,061.3","3,348.5",,,,
2009-2010,All,2-19,All,Vitamin D,5.5,0.3,5.0,6.0,,,,
2009-2010,All,2-19,Non-Hispanic White,Vitamin D,5.9,0.5,4.9,6.8,,,,
2009-2010,All,2-19,Non-Hispanic Black,Vitamin D,4.1,0.4,3.3,4.9,,,,
2009-2010,All,2-19,Non-Hispanic Asian,Vitamin D,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2009-2010,All,2-19,Hispanic,Vitamin D,5.3,0.3,4.7,5.9,,,,
2009-2010,All,2-19,Mexican American,Vitamin D,5.0,0.3,4.4,5.5,,,,
2009-2010,All,2-5,All,Vitamin D,6.8,0.2,6.4,7.2,,,,
2009-2010,All,6-11,All,Vitamin D,6.1,0.2,5.8,6.4,,,,
2009-2010,All,12-19,All,Vitamin D,5.5,0.3,5.0,6.0,,,,
2009-2010,All,20 and over,All,Vitamin D,5.1,0.1,4.9,5.4,,,,
2009-2010,All,20 and over,Non-Hispanic White,Vitamin D,5.4,0.2,5.0,5.9,,,,
2009-2010,All,20 and over,Non-Hispanic Black,Vitamin D,4.1,0.2,3.8,4.5,,,,
2009-2010,All,20 and over,Non-Hispanic Asian,Vitamin D,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2009-2010,All,20 and over,Hispanic,Vitamin D,4.8,0.1,4.6,5.1,,,,
2009-2010,All,20 and over,Mexican American,Vitamin D,4.9,0.2,4.5,5.4,,,,
2009-2010,All,20-29,All,Vitamin D,4.9,0.2,4.6,5.3,,,,
2009-2010,All,30-39,All,Vitamin D,5.1,0.3,4.6,5.6,,,,
2009-2010,All,40-49,All,Vitamin D,5.1,0.3,4.5,5.8,,,,
2009-2010,All,50-59,All,Vitamin D,5.4,0.4,4.7,6.1,,,,
2009-2010,All,60-69,All,Vitamin D,5.3,0.2,4.9,5.8,,,,
2009-2010,All,70 and over,All,Vitamin D,5.0,0.2,4.5,5.4,,,,
2009-2010,Female,2-19,All,Vitamin D,4.7,0.3,4.0,5.3,,,,
2009-2010,Female,2-5,All,Vitamin D,6.9,0.3,6.2,7.5,,,,
2009-2010,Female,6-11,All,Vitamin D,5.4,0.2,5.0,5.9,,,,
2009-2010,Female,12-19,All,Vitamin D,4.7,0.3,4.0,5.3,,,,
2009-2010,Female,20 and over,All,Vitamin D,4.5,0.2,4.2,4.8,,,,
2009-2010,Female,20-29,All,Vitamin D,4.3,0.3,3.8,4.8,,,,
2009-2010,Female,30-39,All,Vitamin D,4.8,0.3,4.3,5.4,,,,
2009-2010,Female,40-49,All,Vitamin D,4.1,0.2,3.6,4.5,,,,
2009-2010,Female,50-59,All,Vitamin D,4.6,0.5,3.6,5.6,,,,
2009-2010,Female,60-69,All,Vitamin D,4.7,0.3,4.2,5.2,,,,
2009-2010,Female,70 and over,All,Vitamin D,4.4,0.1,4.1,4.7,,,,
2009-2010,Male,2-19,All,Vitamin D,6.4,0.4,5.6,7.2,,,,
2009-2010,Male,2-5,All,Vitamin D,6.8,0.3,6.2,7.3,,,,
2009-2010,Male,6-11,All,Vitamin D,6.7,0.2,6.2,7.1,,,,
2009-2010,Male,12-19,All,Vitamin D,6.4,0.4,5.6,7.2,,,,
2009-2010,Male,20 and over,All,Vitamin D,5.9,0.2,5.5,6.2,,,,
2009-2010,Male,20-29,All,Vitamin D,5.5,0.3,5.0,6.0,,,,
2009-2010,Male,30-39,All,Vitamin D,5.3,0.4,4.6,6.0,,,,
2009-2010,Male,40-49,All,Vitamin D,6.4,0.6,5.2,7.5,,,,
2009-2010,Male,50-59,All,Vitamin D,6.1,0.3,5.5,6.8,,,,
2009-2010,Male,60-69,All,Vitamin D,6.0,0.3,5.4,6.7,,,,
2009-2010,Male,70 and over,All,Vitamin D,5.8,0.4,5.1,6.6,,,,
2011-2012,All,2-19,All,Calcium,"1,126.4",35.5,"1,196.5","1,056.3",,,,
2011-2012,All,2-19,Non-Hispanic White,Calcium,"1,198.6",46.2,"1,289.9","1,107.2",,,,
2011-2012,All,2-19,Non-Hispanic Black,Calcium,831.0,28.6,887.4,774.6,,,,
2011-2012,All,2-19,Non-Hispanic Asian,Calcium,"1,050.1",66.7,"1,181.9",918.3,,,,
2011-2012,All,2-19,Hispanic,Calcium,"1,164.8",70.4,"1,304.0","1,025.7",,,,
2011-2012,All,2-19,Mexican American,Calcium,"1,267.6",79.2,"1,424.1","1,111.1",,,,
2011-2012,All,2-5,All,Calcium,"1,006.4",33.6,940.1,"1,072.7",,,,
2011-2012,All,6-11,All,Calcium,"1,072.9",27.8,"1,018.0","1,127.8",,,,
2011-2012,All,12-19,All,Calcium,"1,126.4",35.5,"1,056.3","1,196.5",,,,
2011-2012,All,20 and over,All,Calcium,988.6,14.3,"1,016.8",960.5,,,,
2011-2012,All,20 and over,Non-Hispanic White,Calcium,"1,028.8",16.6,"1,061.6",996.1,,,,
2011-2012,All,20 and over,Non-Hispanic Black,Calcium,858.5,27.3,912.4,804.6,,,,
2011-2012,All,20 and over,Non-Hispanic Asian,Calcium,775.7,18.0,811.3,740.1,,,,
2011-2012,All,20 and over,Hispanic,Calcium,999.1,27.8,"1,053.9",944.2,,,,
2011-2012,All,20 and over,Mexican American,Calcium,"1,054.0",40.2,"1,133.5",974.6,,,,
2011-2012,All,20-29,All,Calcium,"1,055.6",33.1,990.1,"1,121.0",,,,
2011-2012,All,30-39,All,Calcium,"1,084.6",48.6,988.5,"1,180.7",,,,
2011-2012,All,40-49,All,Calcium,"1,042.9",29.3,985.0,"1,100.8",,,,
2011-2012,All,50-59,All,Calcium,925.3,36.6,853.0,997.5,,,,
2011-2012,All,60-69,All,Calcium,925.3,38.8,848.6,"1,002.0",,,,
2011-2012,All,70 and over,All,Calcium,839.8,20.5,799.3,880.4,,,,
2011-2012,Female,2-19,All,Calcium,936.8,28.8,993.8,879.9,,,,
2011-2012,Female,2-5,All,Calcium,948.7,26.3,896.8,"1,000.6",,,,
2011-2012,Female,6-11,All,Calcium,"1,003.6",37.5,929.5,"1,077.7",,,,
2011-2012,Female,12-19,All,Calcium,936.8,28.8,879.9,993.8,,,,
2011-2012,Female,20 and over,All,Calcium,868.0,16.5,900.6,835.4,,,,
2011-2012,Female,20-29,All,Calcium,907.9,27.1,854.4,961.4,,,,
2011-2012,Female,30-39,All,Calcium,938.3,44.4,850.5,"1,026.1",,,,
2011-2012,Female,40-49,All,Calcium,855.5,30.1,796.0,915.0,,,,
2011-2012,Female,50-59,All,Calcium,866.3,38.2,790.9,941.7,,,,
2011-2012,Female,60-69,All,Calcium,808.3,46.4,716.6,900.0,,,,
2011-2012,Female,70 and over,All,Calcium,808.9,31.6,746.6,871.2,,,,
2011-2012,Male,2-19,All,Calcium,"1,310.8",48.3,"1,406.2","1,215.4",,,,
2011-2012,Male,2-5,All,Calcium,"1,062.2",58.8,946.1,"1,178.3",,,,
2011-2012,Male,6-11,All,Calcium,"1,136.6",29.0,"1,079.4","1,193.8",,,,
2011-2012,Male,12-19,All,Calcium,"1,310.8",48.3,"1,215.4","1,406.2",,,,
2011-2012,Male,20 and over,All,Calcium,"1,115.6",20.9,"1,156.9","1,074.2",,,,
2011-2012,Male,20-29,All,Calcium,"1,194.1",59.0,"1,077.7","1,310.6",,,,
2011-2012,Male,30-39,All,Calcium,"1,226.8",78.8,"1,071.1","1,382.4",,,,
2011-2012,Male,40-49,All,Calcium,"1,237.7",42.4,"1,154.0","1,321.3",,,,
2011-2012,Male,50-59,All,Calcium,989.3,61.5,867.9,"1,110.8",,,,
2011-2012,Male,60-69,All,Calcium,"1,052.8",45.8,962.4,"1,143.3",,,,
2011-2012,Male,70 and over,All,Calcium,880.6,20.7,839.8,921.4,,,,
2011-2012,All,2-19,All,Dietary Fiber,15.3,0.3,15.8,14.8,,,,
2011-2012,All,2-19,Non-Hispanic White,Dietary Fiber,15.4,0.5,16.4,14.4,,,,
2011-2012,All,2-19,Non-Hispanic Black,Dietary Fiber,12.9,0.5,14.0,11.9,,,,
2011-2012,All,2-19,Non-Hispanic Asian,Dietary Fiber,15.2,0.9,17.0,13.5,,,,
2011-2012,All,2-19,Hispanic,Dietary Fiber,16.9,0.8,18.4,15.3,,,,
2011-2012,All,2-19,Mexican American,Dietary Fiber,18.0,0.9,19.6,16.3,,,,
2011-2012,All,2-5,All,Dietary Fiber,12.1,0.3,11.5,12.6,,,,
2011-2012,All,6-11,All,Dietary Fiber,14.7,0.4,14.0,15.4,,,,
2011-2012,All,12-19,All,Dietary Fiber,15.3,0.3,14.8,15.8,,,,
2011-2012,All,20 and over,All,Dietary Fiber,18.1,0.4,18.8,17.5,,,,
2011-2012,All,20 and over,Non-Hispanic White,Dietary Fiber,18.3,0.5,19.4,17.3,,,,
2011-2012,All,20 and over,Non-Hispanic Black,Dietary Fiber,15.2,0.4,16.1,14.4,,,,
2011-2012,All,20 and over,Non-Hispanic Asian,Dietary Fiber,19.2,0.5,20.2,18.2,,,,
2011-2012,All,20 and over,Hispanic,Dietary Fiber,19.4,0.7,20.8,17.9,,,,
2011-2012,All,20 and over,Mexican American,Dietary Fiber,20.7,0.9,22.5,18.9,,,,
2011-2012,All,20-29,All,Dietary Fiber,17.8,0.5,16.8,18.8,,,,
2011-2012,All,30-39,All,Dietary Fiber,19.9,0.6,18.7,21.0,,,,
2011-2012,All,40-49,All,Dietary Fiber,17.7,0.6,16.6,18.9,,,,
2011-2012,All,50-59,All,Dietary Fiber,18.0,0.5,17.0,19.1,,,,
2011-2012,All,60-69,All,Dietary Fiber,18.6,0.8,16.9,20.2,,,,
2011-2012,All,70 and over,All,Dietary Fiber,16.5,0.4,15.7,17.3,,,,
2011-2012,Female,2-19,All,Dietary Fiber,12.5,0.3,13.0,11.9,,,,
2011-2012,Female,2-5,All,Dietary Fiber,12.1,0.3,11.4,12.8,,,,
2011-2012,Female,6-11,All,Dietary Fiber,13.9,0.5,13.0,14.8,,,,
2011-2012,Female,12-19,All,Dietary Fiber,12.5,0.3,11.9,13.0,,,,
2011-2012,Female,20 and over,All,Dietary Fiber,16.1,0.3,16.8,15.4,,,,
2011-2012,Female,20-29,All,Dietary Fiber,15.8,0.5,14.8,16.7,,,,
2011-2012,Female,30-39,All,Dietary Fiber,17.5,0.6,16.2,18.8,,,,
2011-2012,Female,40-49,All,Dietary Fiber,15.3,0.6,14.2,16.5,,,,
2011-2012,Female,50-59,All,Dietary Fiber,16.2,0.7,14.9,17.5,,,,
2011-2012,Female,60-69,All,Dietary Fiber,16.5,0.9,14.9,18.2,,,,
2011-2012,Female,70 and over,All,Dietary Fiber,15.2,0.5,14.2,16.1,,,,
2011-2012,Male,2-19,All,Dietary Fiber,18.1,0.4,18.9,17.2,,,,
2011-2012,Male,2-5,All,Dietary Fiber,12.0,0.4,11.2,12.9,,,,
2011-2012,Male,6-11,All,Dietary Fiber,15.4,0.6,14.3,16.5,,,,
2011-2012,Male,12-19,All,Dietary Fiber,18.1,0.4,17.2,18.9,,,,
2011-2012,Male,20 and over,All,Dietary Fiber,20.3,0.4,21.1,19.5,,,,
2011-2012,Male,20-29,All,Dietary Fiber,19.7,0.8,18.1,21.3,,,,
2011-2012,Male,30-39,All,Dietary Fiber,22.1,0.7,20.7,23.6,,,,
2011-2012,Male,40-49,All,Dietary Fiber,20.2,1.0,18.2,22.2,,,,
2011-2012,Male,50-59,All,Dietary Fiber,20.0,0.9,18.2,21.7,,,,
2011-2012,Male,60-69,All,Dietary Fiber,20.8,0.9,19.0,22.6,,,,
2011-2012,Male,70 and over,All,Dietary Fiber,18.2,0.7,16.8,19.6,,,,
2011-2012,All,2-19,All,Iron,15.5,0.4,16.2,14.7,,,,
2011-2012,All,2-19,Non-Hispanic White,Iron,15.4,0.7,16.7,14.1,,,,
2011-2012,All,2-19,Non-Hispanic Black,Iron,13.8,0.6,15.0,12.6,,,,
2011-2012,All,2-19,Non-Hispanic Asian,Iron,14.8,1.1,16.9,12.6,,,,
2011-2012,All,2-19,Hispanic,Iron,17.1,0.7,18.5,15.7,,,,
2011-2012,All,2-19,Mexican American,Iron,18.7,0.9,20.5,16.8,,,,
2011-2012,All,2-5,All,Iron,11.5,0.3,11.0,12.0,,,,
2011-2012,All,6-11,All,Iron,14.8,0.5,13.8,15.7,,,,
2011-2012,All,12-19,All,Iron,15.5,0.4,14.7,16.2,,,,
2011-2012,All,20 and over,All,Iron,15.8,0.2,16.1,15.4,,,,
2011-2012,All,20 and over,Non-Hispanic White,Iron,16.0,0.3,16.6,15.5,,,,
2011-2012,All,20 and over,Non-Hispanic Black,Iron,14.0,0.3,14.6,13.5,,,,
2011-2012,All,20 and over,Non-Hispanic Asian,Iron,14.5,0.4,15.3,13.7,,,,
2011-2012,All,20 and over,Hispanic,Iron,16.7,0.6,17.9,15.5,,,,
2011-2012,All,20 and over,Mexican American,Iron,18.2,0.7,19.5,16.8,,,,
2011-2012,All,20-29,All,Iron,16.3,0.3,15.8,16.8,,,,
2011-2012,All,30-39,All,Iron,17.0,0.4,16.2,17.8,,,,
2011-2012,All,40-49,All,Iron,15.6,0.5,14.6,16.6,,,,
2011-2012,All,50-59,All,Iron,15.6,0.6,14.4,16.7,,,,
2011-2012,All,60-69,All,Iron,15.1,0.7,13.7,16.5,,,,
2011-2012,All,70 and over,All,Iron,14.6,0.4,13.8,15.4,,,,
2011-2012,Female,2-19,All,Iron,12.0,0.5,13.0,11.1,,,,
2011-2012,Female,2-5,All,Iron,11.5,0.4,10.8,12.2,,,,
2011-2012,Female,6-11,All,Iron,13.9,0.7,12.6,15.2,,,,
2011-2012,Female,12-19,All,Iron,12.0,0.5,11.1,13.0,,,,
2011-2012,Female,20 and over,All,Iron,13.6,0.2,14.0,13.1,,,,
2011-2012,Female,20-29,All,Iron,14.4,0.3,13.9,15.0,,,,
2011-2012,Female,30-39,All,Iron,14.6,0.5,13.7,15.4,,,,
2011-2012,Female,40-49,All,Iron,12.8,0.5,11.9,13.7,,,,
2011-2012,Female,50-59,All,Iron,14.0,0.8,12.6,15.5,,,,
2011-2012,Female,60-69,All,Iron,12.5,0.6,11.4,13.7,,,,
2011-2012,Female,70 and over,All,Iron,12.6,0.5,11.7,13.5,,,,
2011-2012,Male,2-19,All,Iron,18.8,0.5,19.8,17.8,,,,
2011-2012,Male,2-5,All,Iron,11.4,0.4,10.6,12.1,,,,
2011-2012,Male,6-11,All,Iron,15.5,0.5,14.5,16.4,,,,
2011-2012,Male,12-19,All,Iron,18.8,0.5,17.8,19.8,,,,
2011-2012,Male,20 and over,All,Iron,18.1,0.2,18.5,17.6,,,,
2011-2012,Male,20-29,All,Iron,18.0,0.6,16.9,19.1,,,,
2011-2012,Male,30-39,All,Iron,19.3,0.7,17.9,20.8,,,,
2011-2012,Male,40-49,All,Iron,18.5,0.8,16.8,20.2,,,,
2011-2012,Male,50-59,All,Iron,17.2,0.9,15.4,19.0,,,,
2011-2012,Male,60-69,All,Iron,17.9,1.1,15.7,20.0,,,,
2011-2012,Male,70 and over,All,Iron,17.3,0.6,16.0,18.6,,,,
2011-2012,All,2-19,All,Potassium,"2,279.5",21.5,"2,322.0","2,237.0",,,,
2011-2012,All,2-19,Non-Hispanic White,Potassium,"2,480.3",71.3,"2,621.1","2,339.6",,,,
2011-2012,All,2-19,Non-Hispanic Black,Potassium,"2,095.8",67.1,"2,228.3","1,963.4",,,,
2011-2012,All,2-19,Non-Hispanic Asian,Potassium,"2,392.7",104.9,"2,600.0","2,185.4",,,,
2011-2012,All,2-19,Hispanic,Potassium,"2,529.5",109.0,"2,744.9","2,314.2",,,,
2011-2012,All,2-19,Mexican American,Potassium,"2,672.2",117.6,"2,904.5","2,439.8",,,,
2011-2012,All,2-5,All,Potassium,"2,044.9",41.4,"1,963.1","2,126.7",,,,
2011-2012,All,6-11,All,Potassium,"2,234.3",45.0,"2,145.3","2,323.3",,,,
2011-2012,All,12-19,All,Potassium,"2,426.5",49.3,"2,329.1","2,523.9",,,,
2011-2012,All,20 and over,All,Potassium,"2,793.5",38.4,"2,869.4","2,717.5",,,,
2011-2012,All,20 and over,Non-Hispanic White,Potassium,"2,869.5",57.4,"2,982.9","2,756.2",,,,
2011-2012,All,20 and over,Non-Hispanic Black,Potassium,"2,461.5",41.3,"2,543.2","2,379.9",,,,
2011-2012,All,20 and over,Non-Hispanic Asian,Potassium,"2,672.6",38.2,"2,748.0","2,597.3",,,,
2011-2012,All,20 and over,Hispanic,Potassium,"2,780.3",54.2,"2,887.3","2,673.3",,,,
2011-2012,All,20 and over,Mexican American,Potassium,"2,816.2",79.5,"2,973.2","2,659.1",,,,
2011-2012,All,20-29,All,Potassium,"2,668.9",44.5,"2,580.9","2,756.8",,,,
2011-2012,All,30-39,All,Potassium,"2,882.0",59.8,"2,763.9","3,000.0",,,,
2011-2012,All,40-49,All,Potassium,"2,853.9",58.9,"2,737.5","2,970.2",,,,
2011-2012,All,50-59,All,Potassium,"2,858.1",81.3,"2,697.5","3,018.7",,,,
2011-2012,All,60-69,All,Potassium,"2,893.6",81.4,"2,732.7","3,054.4",,,,
2011-2012,All,70 and over,All,Potassium,"2,545.5",56.6,"2,433.8","2,657.3",,,,
2011-2012,Female,2-19,All,Potassium,"2,019.5",29.3,"2,077.4","1,961.6",,,,
2011-2012,Female,2-5,All,Potassium,"1,957.5",57.0,"1,844.8","2,070.2",,,,
2011-2012,Female,6-11,All,Potassium,"2,092.9",56.3,"1,981.8","2,204.0",,,,
2011-2012,Female,12-19,All,Potassium,"1,997.7",58.6,"1,882.0","2,113.4",,,,
2011-2012,Female,20 and over,All,Potassium,"2,411.9",37.2,"2,485.4","2,338.4",,,,
2011-2012,Female,20-29,All,Potassium,"2,334.4",56.1,"2,223.5","2,445.2",,,,
2011-2012,Female,30-39,All,Potassium,"2,464.1",67.6,"2,330.5","2,597.7",,,,
2011-2012,Female,40-49,All,Potassium,"2,396.5",84.4,"2,229.8","2,563.2",,,,
